dn,objectClass,uid,homeDirectory,group,givenName,sn,displayName,cn,mail,manager,telephoneNumber,title
cn=Eduard Dell,inetOrgPerson;person;organizationalPerson;posixAccount;top,eduardd,/home/eduardd,Sales,Eduard,Dell,Eduard Dell,Eduard Dell,eduardd@contoso.com,cn=Jack Creasey,(360) 555-4638,Regional Sales Manager
cn=Spencer Low,inetOrgPerson;person;organizationalPerson;posixAccount;top,spencel,/home/spencel,Sales,Spencer,Low,Spencer Low,Spencer Low,spencel@contoso.com,cn=Jack Creasey,(253) 555-7934,Regional Sales Manager
cn=Kelly Weadock,inetOrgPerson;person;organizationalPerson;posixAccount;top,kellyw,/home/kellyw,Operations,Kelly,Weadock,Kelly Weadock,Kelly Weadock,kellyw@contoso.com,cn=Adam Barr,(206) 555-8936,CTO of Professional Services
cn=Molly Clark,inetOrgPerson;person;organizationalPerson;posixAccount;top,mollyc,/home/mollyc,Senior Management,Molly,Clark,Molly Clark,Molly Clark,mollyc@contoso.com,cn=Anna Lidman,(425) 555-0192,GM of Online Ad Sales and Affiliate Marketing
cn=Larry Zhang,inetOrgPerson;person;organizationalPerson;posixAccount;top,larryz,/home/larryz,Sales,Larry,Zhang,Larry Zhang,Larry Zhang,larryz@contoso.com,cn=Jack Creasey,(914) 555-7414,Regional Sales Manager
cn=Arturo Lopez,inetOrgPerson;person;organizationalPerson;posixAccount;top,arturol,/home/arturol,Operations,Arturo,Lopez,Arturo Lopez,Arturo Lopez,arturol@contoso.com,cn=Kelly Weadock,(206) 555-3186,IT Director
cn=April Stewart,inetOrgPerson;person;organizationalPerson;posixAccount;top,aprils,/home/aprils,Sales,April,Stewart,April Stewart,April Stewart,aprils@contoso.com,cn=Eduard Dell,(312) 555-5454,Sales Manager
cn=Aaron Painter,inetOrgPerson;person;organizationalPerson;posixAccount;top,aaronp,/home/aaronp,Strategy Consulting,Aaron,Painter,Aaron Painter,Aaron Painter,aaronp@contoso.com,cn=Christine Koch,(212) 555-8335,Strategy Consulting Manager
cn=Andrew Ma,inetOrgPerson;person;organizationalPerson;posixAccount;top,andrewm,/home/andrewm,Project Management,Andrew,Ma,Andrew Ma,Andrew Ma,andrewm@contoso.com,cn=Alan Steiner,(206) 555-6345,Senior Project Manager
cn=Diane Prescott,inetOrgPerson;person;organizationalPerson;posixAccount;top,dianep,/home/dianep,Marketing,Diane,Prescott,Diane Prescott,Diane Prescott,dianep@contoso.com,cn=Molly Clark,(425) 555-0164,Director of Ad Sales
cn=Arthur Yasinski,inetOrgPerson;person;organizationalPerson;posixAccount;top,arthury,/home/arthury,Sales Engagement Management,Arthur,Yasinski,Arthur Yasinski,Arthur Yasinski,arthury@contoso.com,cn=Spencer Low,(214) 555-3187,Sales Manager
cn=Brad Sutton,inetOrgPerson;person;organizationalPerson;posixAccount;top,brads,/home/brads,Strategy Consulting,Brad,Sutton,Brad Sutton,Brad Sutton,brads@contoso.com,cn=Christine Koch,(212) 555-9758,Strategy Consulting Manager
cn=Amy Alberts,inetOrgPerson;person;organizationalPerson;posixAccount;top,amya,/home/amya,Human Resources,Amy,Alberts,Amy Alberts,Amy Alberts,amya@contoso.com,cn=Garth Fort,(206) 555-1346,HR Manager
cn=Steve Luper,inetOrgPerson;person;organizationalPerson;posixAccount;top,stevel,/home/stevel,Sales,Steve,Luper,Steve Luper,Steve Luper,stevel@contoso.com,cn=Jack Creasey,(619) 555-7772,Regional Sales Manager
cn=Julian Isla,inetOrgPerson;person;organizationalPerson;posixAccount;top,juliani,/home/juliani,Senior Management,Julian,Isla,Julian Isla,Julian Isla,juliani@contoso.com,cn=Molly Clark,(425) 555-0184,Sr. Business Development Manager
cn=Scott Bishop,inetOrgPerson;person;organizationalPerson;posixAccount;top,scottb,/home/scottb,Project Management,Scott,Bishop,Scott Bishop,Scott Bishop,scottb@contoso.com,cn=Alan Steiner,(206) 555-9977,Senior Project Manager
cn=Kelly Krout,inetOrgPerson;person;organizationalPerson;posixAccount;top,kellyk,/home/kellyk,Marketing,Kelly,Krout,Kelly Krout,Kelly Krout,kellyk@contoso.com,cn=Adam Barr,(206) 555-6511,Marketing Manager
cn=Stan Orme,inetOrgPerson;person;organizationalPerson;posixAccount;top,stano,/home/stano,Content Management Consulting,Stan,Orme,Stan Orme,Stan Orme,stano@contoso.com,cn=Alan Steiner,(206) 555-6169,Content Management Consulting Manager
cn=Mike Nash,inetOrgPerson;person;organizationalPerson;posixAccount;top,miken,/home/miken,Project Management,Mike,Nash,Mike Nash,Mike Nash,miken@contoso.com,cn=Alan Steiner,(206) 555-8148,Senior Project Manager
cn=Jenni Merrifield,inetOrgPerson;person;organizationalPerson;posixAccount;top,jennim,/home/jennim,Strategy Consulting,Jenni,Merrifield,Jenni Merrifield,Jenni Merrifield,jennim@contoso.com,cn=David Maman,(206) 555-3965,Strategy Consultant
cn=Keith Dishmo,inetOrgPerson;person;organizationalPerson;posixAccount;top,keithd,/home/keithd,Operations,Keith,Dishmo,Keith Dishmo,Keith Dishmo,keithd@contoso.com,cn=Adam Barr,(206) 555-7436,Procurement Manager
cn=Jose Saraiva,inetOrgPerson;person;organizationalPerson;posixAccount;top,joses,/home/joses,Sales,Jose,Saraiva,Jose Saraiva,Jose Saraiva,joses@contoso.com,cn=Larry Zhang,(206) 555-9337,Sales Manager
cn=Lene Aalling,inetOrgPerson;person;organizationalPerson;posixAccount;top,lenea,/home/lenea,Sales Engagement Management,Lene,Aalling,Lene Aalling,Lene Aalling,lenea@contoso.com,cn=Steve Luper,(701) 555-3621,Sales Manager
cn=Barry Johnson,inetOrgPerson;person;organizationalPerson;posixAccount;top,barryj,/home/barryj,Project Management,Barry,Johnson,Barry Johnson,Barry Johnson,barryj@contoso.com,cn=Alan Steiner,(206) 555-8673,Project Manager
cn=Ellen Adams,inetOrgPerson;person;organizationalPerson;posixAccount;top,ellena,/home/ellena,Strategy Consulting,Ellen,Adams,Ellen Adams,Ellen Adams,ellena@contoso.com,cn=Christine Koch,(212) 555-1397,Strategy Consulting Manager
cn=Ben Spain,inetOrgPerson;person;organizationalPerson;posixAccount;top,bens,/home/bens,Operations,Ben,Spain,Ben Spain,Ben Spain,bens@contoso.com,cn=Adam Barr,(206) 555-8216,Manager
cn=David Zazzo,inetOrgPerson;person;organizationalPerson;posixAccount;top,davidz,/home/davidz,Engineering Operations,David,Zazzo,David Zazzo,David Zazzo,davidz@contoso.com,cn=Adam Barr,(206) 555-4122,Managing Director
cn=Carol Troup,inetOrgPerson;person;organizationalPerson;posixAccount;top,carolt,/home/carolt,Engineering Operations,Carol,Troup,Carol Troup,Carol Troup,carolt@contoso.com,cn=David Zazzo,(206) 555-7223,Strategy Consulting Manager
cn=Erika Cheley,inetOrgPerson;person;organizationalPerson;posixAccount;top,erikac,/home/erikac,Operations,Erika,Cheley,Erika Cheley,Erika Cheley,erikac@contoso.com,cn=Ben Spain,(206) 555-1242,Manager
cn=Brian Groth,inetOrgPerson;person;organizationalPerson;posixAccount;top,briang,/home/briang,Project Management,Brian,Groth,Brian Groth,Brian Groth,briang@contoso.com,cn=Barry Johnson,(206) 555-9642,Project Manager
cn=Syed Abbas,inetOrgPerson;person;organizationalPerson;posixAccount;top,syeda,/home/syeda,CRM Strategy,Syed,Abbas,Syed Abbas,Syed Abbas,syeda@contoso.com,cn=Aaron Painter,(20) 5555-4595,CRM Consulting Manager
cn=Peder Thode,inetOrgPerson;person;organizationalPerson;posixAccount;top,pedert,/home/pedert,Content Management Consulting,Peder,Thode,Peder Thode,Peder Thode,pedert@contoso.com,cn=Stan Orme,(20) 5555-7862,Content Management Consultant
cn=Mary Cha,inetOrgPerson;person;organizationalPerson;posixAccount;top,maryc,/home/maryc,Content Management Consulting,Mary,Cha,Mary Cha,Mary Cha,maryc@contoso.com,cn=Stan Orme,(20) 5555-4594,Content Management Consultant
cn=Lisa Andrews,inetOrgPerson;person;organizationalPerson;posixAccount;top,lisaa,/home/lisaa,Content Management Consulting,Lisa,Andrews,Lisa Andrews,Lisa Andrews,lisaa@contoso.com,cn=Stan Orme,(20) 5555-7545,Content Management Consultant
cn=Jim Lucey,inetOrgPerson;person;organizationalPerson;posixAccount;top,jiml,/home/jiml,Content Management Consulting,Jim,Lucey,Jim Lucey,Jim Lucey,jiml@contoso.com,cn=Stan Orme,(20) 5555-1626,Content Management Consultant
cn=Gareth Chan,inetOrgPerson;person;organizationalPerson;posixAccount;top,garethc,/home/garethc,Content Management Consulting,Gareth,Chan,Gareth Chan,Gareth Chan,garethc@contoso.com,cn=Stan Orme,(20) 5555-5894,Content Management Consultant
cn=Karin Lamb,inetOrgPerson;person;organizationalPerson;posixAccount;top,karinl,/home/karinl,CRM Strategy,Karin,Lamb,Karin Lamb,Karin Lamb,karinl@contoso.com,cn=Syed Abbas,(20) 5555-9834,CRM Consultant
cn=David Hamilton,inetOrgPerson;person;organizationalPerson;posixAccount;top,davidh,/home/davidh,Content Management Consulting,David,Hamilton,David Hamilton,David Hamilton,davidh@contoso.com,cn=Stan Orme,(20) 5555-7963,CRM Consultant
cn=Merav Sror,inetOrgPerson;person;organizationalPerson;posixAccount;top,meravs,/home/meravs,CRM Strategy,Merav,Sror,Merav Sror,Merav Sror,meravs@contoso.com,cn=Syed Abbas,(20) 5555-2697,CRM Consultant
cn=Reina Cabatana,inetOrgPerson;person;organizationalPerson;posixAccount;top,reinac,/home/reinac,Content Management Consulting,Reina,Cabatana,Reina Cabatana,Reina Cabatana,reinac@contoso.com,cn=Stan Orme,(20) 5555-3658,Content Management Consultant
cn=Robin Young,inetOrgPerson;person;organizationalPerson;posixAccount;top,robiny,/home/robiny,Content Management Consulting,Robin,Young,Robin Young,Robin Young,robiny@contoso.com,cn=Stan Orme,(212) 555-4428,Content Management Consultant
cn=Peter Saddow,inetOrgPerson;person;organizationalPerson;posixAccount;top,peters,/home/peters,Content Management Consulting,Peter,Saddow,Peter Saddow,Peter Saddow,peters@contoso.com,cn=Stan Orme,(212) 555-9437,Content Management Consultant
cn=Vladimir Egorov,inetOrgPerson;person;organizationalPerson;posixAccount;top,vladime,/home/vladime,Content Management Consulting,Vladimir,Egorov,Vladimir Egorov,Vladimir Egorov,vladime@contoso.com,cn=Stan Orme,(212) 555-9441,Content Management Consultant
cn=Esther Valle,inetOrgPerson;person;organizationalPerson;posixAccount;top,estherv,/home/estherv,Content Management Consulting,Esther,Valle,Esther Valle,Esther Valle,estherv@contoso.com,cn=Stan Orme,(20) 5555-8548,Content Management Consultant
cn=Lori Kane,inetOrgPerson;person;organizationalPerson;posixAccount;top,lorik,/home/lorik,Strategy Consulting,Lori,Kane,Lori Kane,Lori Kane,lorik@contoso.com,cn=Brad Sutton,(206) 555-5292,Strategy Consultant
cn=Cliff Diddier,inetOrgPerson;person;organizationalPerson;posixAccount;top,cliffd,/home/cliffd,Engineering Operations,Cliff,Diddier,Cliff Diddier,Cliff Diddier,cliffd@contoso.com,cn=Carol Troup,(206) 555-3748,Engineer
cn=Chen Yang,inetOrgPerson;person;organizationalPerson;posixAccount;top,cheny,/home/cheny,Engineering Operations,Chen,Yang,Chen Yang,Chen Yang,cheny@contoso.com,cn=Carol Troup,(206) 555-6173,Engineer
cn=Bernard Tham,inetOrgPerson;person;organizationalPerson;posixAccount;top,bernart,/home/bernart,Engineering Operations,Bernard,Tham,Bernard Tham,Bernard Tham,bernart@contoso.com,cn=Carol Troup,(206) 555-3119,Engineer
cn=Ari Suominen,inetOrgPerson;person;organizationalPerson;posixAccount;top,aris,/home/aris,Engineering Operations,Ari,Suominen,Ari Suominen,Ari Suominen,aris@contoso.com,cn=Carol Troup,(206) 555-7231,Engineer
cn=Anu Deshpande,inetOrgPerson;person;organizationalPerson;posixAccount;top,anud,/home/anud,Creative,Anu,Deshpande,Anu Deshpande,Anu Deshpande,anud@contoso.com,cn=Carol Troup,(206) 555-6699,Engineer
cn=Allan Guinot,inetOrgPerson;person;organizationalPerson;posixAccount;top,allang,/home/allang,Engineering Operations,Allan,Guinot,Allan Guinot,Allan Guinot,allang@contoso.com,cn=Carol Troup,(206) 555-6127,Engineer
cn=Toby Nixon,inetOrgPerson;person;organizationalPerson;posixAccount;top,tobyn,/home/tobyn,CRM Strategy,Toby,Nixon,Toby Nixon,Toby Nixon,tobyn@contoso.com,cn=Syed Abbas,(20) 5555-4379,CRM Consultant
cn=Tad Orman,inetOrgPerson;person;organizationalPerson;posixAccount;top,tado,/home/tado,CRM Strategy,Tad,Orman,Tad Orman,Tad Orman,tado@contoso.com,cn=Syed Abbas,(20) 5555-4625,CRM Consultant
cn=Jeff Williams,inetOrgPerson;person;organizationalPerson;posixAccount;top,jeffw,/home/jeffw,CRM Strategy,Jeff,Williams,Jeff Williams,Jeff Williams,jeffw@contoso.com,cn=Syed Abbas,(20) 5555-2592,CRM Consultant
cn=Frank Miller,inetOrgPerson;person;organizationalPerson;posixAccount;top,frankm,/home/frankm,Strategy Consulting,Frank,Miller,Frank Miller,Frank Miller,frankm@contoso.com,cn=David Maman,(212) 555-5231,Strategy Consultant
cn=William Vong,inetOrgPerson;person;organizationalPerson;posixAccount;top,williav,/home/williav,Strategy Consulting,William,Vong,William Vong,William Vong,williav@contoso.com,cn=Cesar Garcia,(212) 555-5864,Strategy Consultant
cn=Sameer Tejani,inetOrgPerson;person;organizationalPerson;posixAccount;top,sameert,/home/sameert,Strategy Consulting,Sameer,Tejani,Sameer Tejani,Sameer Tejani,sameert@contoso.com,cn=Ellen Adams,(212) 555-5422,Strategy Consultant
cn=Jon Jaffe,inetOrgPerson;person;organizationalPerson;posixAccount;top,jonj,/home/jonj,Strategy Consulting,Jon,Jaffe,Jon Jaffe,Jon Jaffe,jonj@contoso.com,cn=Brad Sutton,(206) 555-5499,Strategy Consultant
cn=Mike Ray,inetOrgPerson;person;organizationalPerson;posixAccount;top,miker,/home/miker,Strategy Consulting,Mike,Ray,Mike Ray,Mike Ray,miker@contoso.com,cn=David Maman,(212) 555-1665,Strategy Consultant
cn=Robert O'Hara,inetOrgPerson;person;organizationalPerson;posixAccount;top,roberto,/home/roberto,Content Management Consulting,Robert,O'Hara,Robert O'Hara,Robert O'Hara,roberto@contoso.com,cn=Stan Orme,(206) 555-3434,Content Management Consultant
cn=Lisa Miller,inetOrgPerson;person;organizationalPerson;posixAccount;top,lisam,/home/lisam,Strategy Consulting,Lisa,Miller,Lisa Miller,Lisa Miller,lisam@contoso.com,cn=Cesar Garcia,(206) 555-7947,Strategy Consultant
cn=Jason Carlson,inetOrgPerson;person;organizationalPerson;posixAccount;top,jasonc,/home/jasonc,CRM Strategy,Jason,Carlson,Jason Carlson,Jason Carlson,jasonc@contoso.com,cn=Syed Abbas,(20) 5555-6548,CRM Consultant
cn=Jim Corbin,inetOrgPerson;person;organizationalPerson;posixAccount;top,jimc,/home/jimc,Strategy Consulting,Jim,Corbin,Jim Corbin,Jim Corbin,jimc@contoso.com,cn=David Maman,(206) 555-8157,Strategy Consultant
cn=Jesus Escolar,inetOrgPerson;person;organizationalPerson;posixAccount;top,jesuse,/home/jesuse,Strategy Consulting,Jesus,Escolar,Jesus Escolar,Jesus Escolar,jesuse@contoso.com,cn=Aaron Painter,(206) 555-5784,Strategy Consultant
cn=Idan Rubin,inetOrgPerson;person;organizationalPerson;posixAccount;top,idanr,/home/idanr,Strategy Consulting,Idan,Rubin,Idan Rubin,Idan Rubin,idanr@contoso.com,cn=Brad Sutton,(206) 555-5862,Strategy Consultant
cn=Don Hall,inetOrgPerson;person;organizationalPerson;posixAccount;top,donh,/home/donh,Strategy Consulting,Don,Hall,Don Hall,Don Hall,donh@contoso.com,cn=Ellen Adams,(206) 555-3518,Strategy Consultant
cn=Blaine Dockter,inetOrgPerson;person;organizationalPerson;posixAccount;top,blained,/home/blained,Strategy Consulting,Blaine,Dockter,Blaine Dockter,Blaine Dockter,blained@contoso.com,cn=Ellen Adams,(206) 555-4484,Strategy Consultant
cn=Anne Weiler,inetOrgPerson;person;organizationalPerson;posixAccount;top,annew,/home/annew,Strategy Consulting,Anne,Weiler,Anne Weiler,Anne Weiler,annew@contoso.com,cn=Cesar Garcia,(206) 555-6443,Strategy Consultant
cn=Allison Brown,inetOrgPerson;person;organizationalPerson;posixAccount;top,allisob,/home/allisob,Strategy Consulting,Allison,Brown,Allison Brown,Allison Brown,allisob@contoso.com,cn=Aaron Painter,(206) 555-5461,Strategy Consultant
cn=Valery Ushakov,inetOrgPerson;person;organizationalPerson;posixAccount;top,valeryu,/home/valeryu,Engineering Operations,Valery,Ushakov,Valery Ushakov,Valery Ushakov,valeryu@contoso.com,cn=Carol Troup,(206) 555-3599,Engineer
cn=Tosh Meston,inetOrgPerson;person;organizationalPerson;posixAccount;top,toshm,/home/toshm,CRM Strategy,Tosh,Meston,Tosh Meston,Tosh Meston,toshm@contoso.com,cn=Syed Abbas,(20) 5555-1394,CRM Consultant
cn=Sanjay Patel,inetOrgPerson;person;organizationalPerson;posixAccount;top,sanjayp,/home/sanjayp,Content Management Consulting,Sanjay,Patel,Sanjay Patel,Sanjay Patel,sanjayp@contoso.com,cn=Stan Orme,(206) 555-5542,Content Management Consultant
cn=Roland Wacker,inetOrgPerson;person;organizationalPerson;posixAccount;top,rolandw,/home/rolandw,Strategy Consulting,Roland,Wacker,Roland Wacker,Roland Wacker,rolandw@contoso.com,cn=Aaron Painter,(212) 555-8236,Strategy Consultant
cn=David Derwin,inetOrgPerson;person;organizationalPerson;posixAccount;top,davidd,/home/davidd,1099 Contractor,David,Derwin,David Derwin,David Derwin,davidd@contoso.com,cn=Brian Groth,(206) 555-7749,Project Manager
cn=John Yokum,inetOrgPerson;person;organizationalPerson;posixAccount;top,johny,/home/johny,Strategy Consulting,John,Yokum,John Yokum,John Yokum,johny@contoso.com,cn=Ellen Adams,(206) 555-8147,Strategy Consultant
cn=Scott Rockfield,inetOrgPerson;person;organizationalPerson;posixAccount;top,scottr,/home/scottr,1099 Contractor,Scott,Rockfield,Scott Rockfield,Scott Rockfield,scottr@contoso.com,cn=Brian Groth,(206) 555-5233,Project Manager
cn=Humberto Acevedo,inetOrgPerson;person;organizationalPerson;posixAccount;top,humbera,/home/humbera,1099 Contractor,Humberto,Acevedo,Humberto Acevedo,Humberto Acevedo,humbera@contoso.com,cn=Brian Groth,(206) 555-9549,Project Manager
cn=David So,inetOrgPerson;person;organizationalPerson;posixAccount;top,davids1,/home/davids1,1099 Contractor,David,So,David So,David So,davids1@contoso.com,cn=Brian Groth,(206) 555-1459,Project Manager
cn=Anders Madsen,inetOrgPerson;person;organizationalPerson;posixAccount;top,andersm,/home/andersm,1099 Contractor,Anders,Madsen,Anders Madsen,Anders Madsen,andersm@contoso.com,cn=Brian Groth,(206) 555-7593,Project Manager
cn=Alexandre Silva,inetOrgPerson;person;organizationalPerson;posixAccount;top,alexans,/home/alexans,1099 Contractor,Alexandre,Silva,Alexandre Silva,Alexandre Silva,alexans@contoso.com,cn=Brian Groth,(206) 555-5413,Project Manager
cn=Stuart Munson,inetOrgPerson;person;organizationalPerson;posixAccount;top,stuartm,/home/stuartm,1099 Contractor,Stuart,Munson,Stuart Munson,Stuart Munson,stuartm@contoso.com,cn=Brian Groth,(206) 555-9366,Project Manager
cn=Qiong Wu,inetOrgPerson;person;organizationalPerson;posixAccount;top,qiongw,/home/qiongw,1099 Contractor,Qiong,Wu,Qiong Wu,Qiong Wu,qiongw@contoso.com,cn=Brian Groth,(206) 555-2342,Project Manager
cn=Michiko Osada,inetOrgPerson;person;organizationalPerson;posixAccount;top,michiko,/home/michiko,1099 Contractor,Michiko,Osada,Michiko Osada,Michiko Osada,michiko@contoso.com,cn=Brian Groth,(206) 555-1577,Project Manager
cn=Michael Zeman,inetOrgPerson;person;organizationalPerson;posixAccount;top,michaez,/home/michaez,1099 Contractor,Michael,Zeman,Michael Zeman,Michael Zeman,michaez@contoso.com,cn=Brian Groth,(206) 555-7177,Project Manager
cn=Maurice Taylor,inetOrgPerson;person;organizationalPerson;posixAccount;top,maurict,/home/maurict,1099 Contractor,Maurice,Taylor,Maurice Taylor,Maurice Taylor,maurict@contoso.com,cn=Brian Groth,(206) 555-3382,Project Manager
cn=Guido Pica,inetOrgPerson;person;organizationalPerson;posixAccount;top,guidop,/home/guidop,1099 Contractor,Guido,Pica,Guido Pica,Guido Pica,guidop@contoso.com,cn=Brian Groth,(206) 555-4724,Project Manager
cn=Jessica Arnold,inetOrgPerson;person;organizationalPerson;posixAccount;top,jessica,/home/jessica,1099 Contractor,Jessica,Arnold,Jessica Arnold,Jessica Arnold,jessica@contoso.com,cn=Brian Groth,(206) 555-3415,Project Manager
cn=Chase Carpenter,inetOrgPerson;person;organizationalPerson;posixAccount;top,chasec,/home/chasec,Accounting,Chase,Carpenter,Chase Carpenter,Chase Carpenter,chasec@contoso.com,cn=Karim Manar,(206) 555-9764,Accountant
cn=Terrence Phillip,inetOrgPerson;person;organizationalPerson;posixAccount;top,terrenp,/home/terrenp,1099 Contractor,Terrence,Phillip,Terrence Phillip,Terrence Phillip,terrenp@contoso.com,cn=Jenni Merrifield,(206) 555-1678,Strategy Consultant
cn=Hugo Garcia,inetOrgPerson;person;organizationalPerson;posixAccount;top,hugog,/home/hugog,1099 Contractor,Hugo,Garcia,Hugo Garcia,Hugo Garcia,hugog@contoso.com,cn=Jenni Merrifield,(206) 555-6852,Strategy Consultant
cn=Jeremy Los,inetOrgPerson;person;organizationalPerson;posixAccount;top,jeremyl,/home/jeremyl,1099 Contractor,Jeremy,Los,Jeremy Los,Jeremy Los,jeremyl@contoso.com,cn=Jenni Merrifield,(206) 555-8792,Strategy Consultant
cn=John Ganio,inetOrgPerson;person;organizationalPerson;posixAccount;top,johng,/home/johng,1099 Contractor,John,Ganio,John Ganio,John Ganio,johng@contoso.com,cn=Jenni Merrifield,(206) 555-6235,Strategy Consultant
cn=Lina Abola,inetOrgPerson;person;organizationalPerson;posixAccount;top,linaa,/home/linaa,1099 Contractor,Lina,Abola,Lina Abola,Lina Abola,linaa@contoso.com,cn=Jenni Merrifield,(206) 555-4666,Strategy Consultant
cn=Mark Hanson,inetOrgPerson;person;organizationalPerson;posixAccount;top,markh,/home/markh,1099 Contractor,Mark,Hanson,Mark Hanson,Mark Hanson,markh@contoso.com,cn=Jenni Merrifield,(206) 555-7794,Strategy Consultant
cn=Jaka Stele,inetOrgPerson;person;organizationalPerson;posixAccount;top,jakas,/home/jakas,1099 Contractor,Jaka,Stele,Jaka Stele,Jaka Stele,jakas@contoso.com,cn=Brian Groth,(206) 555-6963,Project Manager
cn=Steven Wright,inetOrgPerson;person;organizationalPerson;posixAccount;top,stevenw,/home/stevenw,1099 Contractor,Steven,Wright,Steven Wright,Steven Wright,stevenw@contoso.com,cn=Jenni Merrifield,(206) 555-3155,Strategy Consultant
cn=Dough Mahugh,inetOrgPerson;person;organizationalPerson;posixAccount;top,doughm,/home/doughm,1099 Contractor,Dough,Mahugh,Dough Mahugh,Dough Mahugh,doughm@contoso.com,cn=Brian Groth,(206) 555-7139,Project Manager
cn=Andrea Dunker,inetOrgPerson;person;organizationalPerson;posixAccount;top,andread,/home/andread,1099 Contractor,Andrea,Dunker,Andrea Dunker,Andrea Dunker,andread@contoso.com,cn=Brian Groth,(206) 555-1413,Project Manager
cn=Carlos Grilo,inetOrgPerson;person;organizationalPerson;posixAccount;top,carlosg,/home/carlosg,1099 Contractor,Carlos,Grilo,Carlos Grilo,Carlos Grilo,carlosg@contoso.com,cn=Brian Groth,(206) 555-4536,Project Manager
